Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potenza media,Potenza max,Passi,Decompressione,Tempo Lap migliore,Numero di Lap,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2025-04-09 18:06:04,false,"Castellammare di Stabia - Base","6.63","473","00:40:07","153","167","3.4","166","209","6:03","2:58","8","9","1.00","6:00","290","0.0","285","525","6,708","No","00:00:07.4","8","00:39:27","00:42:06","1","7"
Corsa,2025-04-08 17:19:03,false,"Castellammare di Stabia - Base","3.01","199","00:17:27","142","161","2.7","166","200","5:48","3:16","3","7","1.04","5:39","299","0.0","294","501","2,942","No","00:00:03.8","4","00:17:08","00:17:27","-13","-6"
Corsa,2025-04-07 18:01:37,false,"Castellammare di Stabia - Base","5.02","364","00:29:53","158","176","3.3","166","190","5:57","4:19","6","9","1.01","5:54","301","0.0","295","400","5,010","No","00:00:07.1","6","00:29:31","00:30:01","1","6"
Corsa,2025-04-04 16:56:45,false,"Castellammare di Stabia - Base","4.02","280","00:24:14","147","164","3.0","166","172","6:02","5:13","9","9","1.00","5:58","286","0.0","284","339","4,028","No","00:00:07.1","5","00:24:10","00:25:32","4","11"
Corsa,2025-04-03 18:12:30,false,"Castellammare di Stabia - Base","8.70","641","00:54:10","157","178","3.9","166","187","6:14","4:42","16","15","0.97","6:12","279","0.0","275","387","8,968","No","00:00:10.0","10","00:53:53","00:55:48","3","15"
Corsa,2025-04-02 19:09:41,false,"Castellammare di Stabia - Base","5.04","366","00:30:46","154","181","3.3","163","179","6:06","4:47","5","6","1.00","6:08","283","0.0","277","374","5,044","No","00:00:21.6","6","00:30:19","00:30:46","2","6"
Corsa,2025-04-01 17:33:25,false,"Castellammare di Stabia - Base","5.02","345","00:30:49","141","160","3.0","165","250","6:08","5:45","4","5","0.99","6:08","285","0.0","284","320","5,068","No","00:00:49.5","6","00:30:48","00:30:49","6","10"
Corsa,2025-03-31 16:59:34,false,"Castellammare di Stabia - Base","8.03","589","00:49:03","162","186","3.7","163","224","6:07","4:19","9","12","1.00","6:09","286","0.0","283","397","7,998","No","00:00:02.6","10","00:48:54","00:49:03","12","17"
Corsa,2025-03-28 17:42:29,false,"Castellammare di Stabia Corsa","5.01","359","00:28:22","165","183","3.6","164","175","5:39","4:18","12","9","1.08","5:36","309","0.0","304","439","4,666","No","00:00:07.3","6","00:28:15","00:28:22","4","13"
Corsa,2025-03-26 11:11:49,false,"Castellammare di Stabia - Base","7.78","561","00:46:31","160","181","3.7","163","170","5:59","5:15","7","18","1.03","6:04","283","0.0","280","333","7,562","No","00:04:39.7","8","00:46:11","01:16:18","8","33"
Corsa,2025-03-25 18:02:45,false,"Castellammare di Stabia - Base","2.38","157","00:13:32","152","180","2.5","164","174","5:41","2:54","3","2","1.07","5:43","300","0.0","295","512","2,228","No","00:02:15.0","3","00:13:20","00:14:52","9","12"
Corsa,2025-03-24 17:25:45,false,"Castellammare di Stabia - Base","5.01","342","00:28:12","157","180","3.3","166","174","5:37","5:02","19","4","1.07","5:35","301","0.0","299","355","4,680","No","00:00:05.6","6","00:28:05","00:28:12","-4","19"
Corsa,2025-03-21 17:00:21,false,"Castellammare di Stabia - Base","5.01","297","00:28:15","143","179","3.0","164","170","5:39","4:46","2","3","1.08","5:28","309","0.0","304","356","4,654","No","00:00:02.5","6","00:28:01","00:28:15","15","17"
Corsa,2025-03-19 17:36:48,false,"Castellammare di Stabia - Base","5.07","394","00:30:49","170","190","3.7","162","168","6:05","5:20","--","1","1.01","5:48","281","0.0","278","331","5,032","No","00:00:24.6","6","00:30:33","00:30:49","23","25"
Corsa,2025-03-18 19:13:12,false,"Corsa","3.03","225","00:17:33","164","181","3.1","165","179","5:48","3:45","7","8","1.04","--","288","0.0","287","451","2,892","No","00:00:09.6","4","00:17:32","00:19:32","-19","-14"
